UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
PE,FERREIROS,3245,958,0,95,12,169,60,0,21,2,1617,189,51,0,54,14,0,0,0,0,0,3
PE,FLORES,5396,1689,0,137,16,411,58,0,20,65,2800,102,23,0,49,23,0,0,0,0,0,3
PE,FLORESTA,9899,2789,0,520,18,874,86,0,231,45,4589,486,33,0,119,30,42,0,0,0,6,31
PE,FREI MIGUELINHO,4494,1629,0,265,53,415,89,0,6,141,1627,135,26,0,41,60,0,0,0,0,0,7
PE,GAMELEIRA,3400,1553,0,86,1,142,70,0,116,17,1127,89,65,0,121,2,0,0,0,0,2,9
PE,GARANHUNS,58360,27686,0,1794,232,4169,1096,0,560,342,17681,2804,154,0,646,641,1,0,0,0,18,536
PE,GLORIA DO GOITA,7102,2053,0,247,34,422,120,1,113,76,3512,330,67,0,55,53,0,0,0,1,0,18
PE,GOIANA,29886,11142,0,812,182,1400,863,0,992,245,11132,1984,191,0,574,203,0,2,0,2,4,158
PE,GRANITO,1621,320,0,36,0,131,9,0,0,1,1073,21,14,0,12,1,0,0,0,0,1,2
PE,GRAVATA,36074,12234,0,1062,131,2443,663,0,736,152,14491,3258,104,0,431,167,1,1,0,3,14,183
PE,IATI,3004,907,0,103,7,298,27,0,1,56,1463,55,32,0,17,32,0,0,0,0,0,6
PE,IBIMIRIM,6589,2110,0,217,5,757,91,0,69,68,2984,152,25,0,79,10,0,0,0,0,7,15
